sequence_name	split
01_AE.VN.14.VN_643.MT635175	crf_bank
01_AE.GB.2012.Recipient_N107_52_Months.KP873163	crf_bank
01_AE.TH.-.6323P00a.MK867564	crf_bank
01_AE.TH.2019.027_S_v11_22p2G10_68-68C1P2_r84.PP591248	crf_bank
01_AE.GB.2010.Donor_N094_20_Month.KP873161	crf_bank
01_AE.ID.2016.H41_Bali_2016.OQ357253	crf_bank
01_AE.CN.2011.DE00111CN003.KC596065	crf_bank
01_AE.CN.2023.111242_120.PV207344	crf_bank
01_AE.TH.-.F4_PID_30_W96_NS_7C7_1313_0_R470.ON500942	crf_bank
01_AE.ID.2018.SBY2_Surabaya_2018.OQ357245	crf_bank
01_AE.TH.2011.40231v14_08.MN792254	crf_bank
01_AE.CN.2023.113401_180.PV207384	crf_bank
01_AE.GB.2009.Donor_N094_8_Months.KP873164	crf_bank
01_AE.GB.2012.Donor_N094_42_Months.KP873162	crf_bank
01_AE.TH.2013.Pt5_PreART_40.ON902132	crf_bank
01_AE.CN.2023.111242_45.PV207346	crf_bank
01_AE.TH.-.6323P00b.MK867565	crf_bank
01_AE.CN.2023.111242_52.PV207347	crf_bank
01_AE.CN.2023.111242_76.PV207348	crf_bank
01_AE.TH.-.6323P00f.MK867569	crf_bank
01_AE.TH.-.F4_PID_30_W0_S_9G3_4747_0_R478.ON500933	crf_bank
01_AE.TH.-.6323P00c.MK867566	crf_bank
01_AE.TH.-.F4_PID_30_W0_NS_7D5_1717_0_R474.ON500926	crf_bank
01_AE.TH.-.6323P00e.MK867568	crf_bank
01_AE.AF.07.569M.GQ477441	crf_bank
01_AE.BE.17.CA.MN486023	crf_bank
01_AE.BE.17.CM.MN486035	crf_bank
01_AE.BG.08.S_08_004.MH746262	crf_bank
01_AE.BG.09.V_09_018.MH746252	crf_bank
01_AE.CF.90.90CF11697.AF197340	crf_bank
01_AE.CF.90.90CF4071.AF197341	crf_bank
01_AE.CF.90.90CR402_CAR_E_4002.U51188	crf_bank
01_AE.CM.03.U7957.MN116207	crf_bank
01_AE.CM.03.U8216.MN116208	crf_bank
